cnpj,cnae,porte_empresa,situacao_cadastral
13502674000136,1009,Grande,Ativa
79812345000108,6124,ME,Ativa
85901643000169,3193,Grande,Ativa
37410928000154,8449,ME,Inativa
80256173000104,7938,EPP,Ativa
93728415000167,8266,ME,Ativa
34291058000153,3000,EPP,Ativa
14975360000113,2460,EPP,Ativa
72638459000126,5809,Média,Ativa
46302918000196,8245,ME,Ativa
74892536000103,5780,EPP,Ativa
53701294000145,5976,Média,Ativa
60273189000118,8239,ME,Ativa
58274031000110,1770,EPP,Ativa
74105386000132,2077,Grande,Ativa
72639854000123,5858,EPP,Ativa
23649518000156,4374,EPP,Ativa
86512043000171,5673,Média,Inativa
18049253000115,7881,ME,Ativa
49051783000121,7941,EPP,Ativa
65314827000115,2331,EPP,Ativa
35941768000144,6115,ME,Ativa
02413675000198,3180,Média,Ativa
71358264000160,4472,EPP,Ativa
70581642000107,5164,Grande,Ativa
42573869000175,5300,ME,Ativa
39568204000169,2906,EPP,Ativa
75389624000141,7238,EPP,Ativa
32716480000188,9472,Média,Ativa
79130264000110,5188,Grande,Ativa
39748256000117,8570,Média,Ativa
76429530000111,5777,ME,Ativa
18607952000133,7376,ME,Ativa
83921547000157,8240,ME,Ativa
08642719000138,7493,ME,Ativa
95187036000132,5432,ME,Ativa
52193780000137,2276,Grande,Ativa
16092584000102,1055,EPP,Ativa
68174902000188,9150,EPP,Ativa
89156047000152,7809,ME,Ativa
71659048000154,6126,EPP,Ativa
82563901000156,7506,EPP,Ativa
47213680000195,8673,ME,Ativa
76130285000147,9152,Média,Ativa
39467820000123,2062,ME,Ativa
47985102000177,8641,EPP,Ativa
01689342000123,4596,EPP,Ativa
93641825000176,9258,EPP,Ativa
78693452000193,7371,EPP,Ativa
58421390000153,8943,EPP,Ativa
90872653000153,3472,ME,Ativa
31647825000126,2761,ME,Ativa
10843769000125,4812,Grande,Ativa
25761439000168,2733,ME,Ativa
59673280000141,7986,ME,Ativa
39527840000142,4735,Média,Ativa
71450632000103,9434,ME,Ativa
95814637000128,6342,Média,Ativa
92183476000123,9195,ME,Inativa
93014287000190,3551,Média,Ativa
98205417000195,5289,EPP,Ativa
39460125000130,7316,Média,Ativa
38946057000150,9915,EPP,Ativa
75820461000100,3048,EPP,Ativa
43895716000107,2828,EPP,Inativa
52378461000104,7988,EPP,Ativa
15490673000144,1009,EPP,Ativa
83562097000153,8041,ME,Ativa
43976501000110,9512,ME,Ativa
93147586000100,3824,EPP,Ativa
75126348000129,4490,ME,Inativa
26410375000113,1235,EPP,Inativa
82465130000164,4530,Grande,Ativa
24590318000138,3560,Média,Ativa
94538617000109,6951,Média,Ativa
41826509000175,7413,Média,Ativa
42658093000196,3898,EPP,Ativa
72836950000161,5227,ME,Ativa
03697518000114,7943,EPP,Ativa
71635428000159,6142,EPP,Ativa
71362809000101,3192,Média,Ativa
84269051000103,2997,ME,Ativa
15867320000110,2970,EPP,Ativa
86420795000102,2202,ME,Ativa
47851963000162,6742,EPP,Ativa
10934256000120,1922,Média,Ativa
24697180000170,2120,Média,Ativa
81205364000100,3336,ME,Ativa
39574160000180,5612,Média,Ativa
82074395000131,7028,ME,Ativa
71246305000126,7359,EPP,Ativa
54917036000163,4719,ME,Ativa
64017583000146,3891,Média,Ativa
83597024000105,3674,EPP,Ativa
94356728000102,3116,Média,Inativa
73925104000180,7166,EPP,Inativa
50918472000104,3443,Grande,Ativa
92058174000123,1984,ME,Ativa
76519803000119,4531,ME,Inativa
26310847000166,4876,Média,Ativa
53817694000110,9795,ME,Ativa
21356490000133,5146,Média,Inativa
09426587000170,4797,Grande,Ativa
02975138000131,6732,Grande,Ativa
68493051000136,4030,Grande,Ativa
64130725000187,5662,ME,Ativa
91375204000162,8112,Média,Ativa
90672358000153,7456,ME,Ativa
51798426000173,9766,EPP,Ativa
58624019000199,8973,ME,Ativa
34267018000176,9609,Grande,Ativa
78053642000146,5971,Grande,Ativa
08975214000195,2990,ME,Ativa
83642517000101,7320,Média,Ativa
68521390000189,3713,ME,Ativa
25083914000194,1966,Grande,Ativa
17348906000102,5243,EPP,Ativa
90845713000149,7704,ME,Ativa
