cnpj,empresa,status_reclamacao,tempo_resposta_dias,avaliacao_consumidor,data_reclamacao
95.184.703/0001-23,da Cunha Ltda.,Não Resolvida,28,4,2025-11-12
13.628.749/0001-20,Siqueira Nunes S.A.,Resolvida,11,2,2025-08-08
68.153.049/0001-18,Albuquerque e Filhos,Resolvida,25,1,2024-06-29
01.286.359/0001-30,Jesus da Rocha e Filhos,Resolvida,27,1,2025-01-23
13.764.089/0001-04,da Costa e Filhos,Não Resolvida,9,3,2024-09-01
92.763.140/0001-30,Mendonça - EI,Resolvida,8,3,2024-05-22
94.271.580/0001-03,Pacheco,Resolvida,5,1,2025-01-06
24.813.709/0001-74,Oliveira - ME,Resolvida,12,3,2025-06-06
35.084.926/0001-97,Camargo,Resolvida,24,1,2025-12-06
52.346.017/0001-07,da Cruz - ME,Resolvida,17,2,2025-03-06
30.985.247/0001-75,da Cruz,Não Resolvida,7,2,2025-03-25
95.147.286/0001-49,Nascimento S/A,Resolvida,5,1,2025-03-11
03.716.894/0001-09,Fernandes Camargo - EI,Não Resolvida,27,1,2024-11-03
39.271.864/0001-83,Fonseca e Filhos,Não Resolvida,28,5,2024-02-26
95.180.723/0001-26,Câmara,Resolvida,1,3,2024-10-07
64.970.583/0001-66,Macedo Ferreira - ME,Resolvida,21,4,2024-08-25
16.872.394/0001-08,Rocha Macedo - EI,Resolvida,6,4,2025-01-05
82.037.451/0001-68,Araújo,Resolvida,24,3,2024-05-07
59.764.018/0001-02,Brito,Resolvida,6,5,2024-08-03
61.759.482/0001-52,Barros,Resolvida,6,3,2024-06-14
31.562.879/0001-99,Almeida,Não Resolvida,16,1,2024-02-16
09.472.381/0001-86,da Conceição - EI,Resolvida,27,5,2024-09-14
08.126.347/0001-97,Cardoso,Não Resolvida,28,3,2025-10-03
43.150.268/0001-12,Oliveira,Resolvida,26,3,2024-08-12
07.642.189/0001-65,Souza,Não Resolvida,20,4,2025-01-26
40.573.629/0001-45,Caldeira,Não Resolvida,8,2,2024-05-11
39.127.864/0001-04,Moraes Ltda.,Não Resolvida,11,4,2025-03-08
82.075.946/0001-81,Cavalcanti Costela S/A,Resolvida,18,2,2024-05-10
21.468.397/0001-10,Sá,Resolvida,28,2,2025-01-15
80.654.371/0001-26,Ribeiro Novaes S.A.,Não Resolvida,20,4,2024-02-04
31.985.624/0001-39,Mendes e Filhos,Resolvida,1,4,2025-11-14
90.264.758/0001-20,Gonçalves,Resolvida,27,1,2025-08-03
05.834.791/0001-79,Albuquerque,Resolvida,19,3,2024-04-14
56.972.810/0001-64,Araújo da Rosa Ltda.,Não Resolvida,22,1,2025-10-13
13.284.076/0001-38,Oliveira - ME,Resolvida,11,1,2025-05-27
85.649.103/0001-30,Barbosa,Resolvida,6,4,2024-03-23
07.362.185/0001-23,Sá,Resolvida,16,1,2024-08-22
71.926.453/0001-91,Carvalho - ME,Resolvida,29,2,2024-07-08
26.305.187/0001-25,Fernandes,Resolvida,18,2,2024-04-11
92.584.670/0001-10,Borges e Filhos,Resolvida,16,5,2024-11-03
95.862.143/0001-19,Câmara,Resolvida,1,4,2025-12-04
13.645.827/0001-02,Novais - ME,Resolvida,21,4,2025-11-12
65.840.721/0001-55,Pacheco Nunes S/A,Resolvida,8,3,2024-09-08
80.927.614/0001-52,Brito S/A,Resolvida,1,4,2026-01-01
13.680.259/0001-72,Costa Porto Ltda.,Resolvida,22,5,2024-07-26
25.387.469/0001-56,Freitas,Resolvida,8,3,2025-12-24
64.319.850/0001-30,Alves,Resolvida,21,1,2025-11-08
05.287.643/0001-81,Marques,Resolvida,1,5,2024-06-16
92.657.418/0001-94,Sampaio Pires Ltda.,Resolvida,16,3,2025-06-22
54.162.039/0001-34,da Rocha - EI,Resolvida,17,1,2025-03-17
27.941.365/0001-77,Mendes,Não Resolvida,29,5,2024-04-23
18.679.423/0001-45,Castro,Não Resolvida,28,1,2024-04-18
36.905.871/0001-00,Ferreira,Não Resolvida,29,1,2025-01-23
84.290.315/0001-00,Pastor - EI,Resolvida,3,4,2024-11-21
34.597.260/0001-08,Barbosa,Não Resolvida,29,5,2024-10-08
39.482.675/0001-50,Duarte,Resolvida,1,3,2024-03-19
85.904.271/0001-24,Gonçalves,Resolvida,25,2,2025-06-15
37.845.216/0001-68,Pimenta Ltda.,Não Resolvida,26,3,2025-01-11
36.528.907/0001-75,Moreira Cavalcanti - EI,Resolvida,24,2,2025-09-07
69.418.302/0001-80,Albuquerque Silva S/A,Resolvida,22,2,2025-09-28
58.947.236/0001-10,Sá,Resolvida,10,2,2025-01-22
21.654.987/0001-38,da Cunha,Resolvida,8,1,2025-11-25
07.645.291/0001-14,Brito,Resolvida,22,5,2025-09-17
02.847.513/0001-68,Siqueira S.A.,Resolvida,26,3,2025-03-04
60.925.817/0001-00,Siqueira,Resolvida,24,5,2025-07-05
52.610.834/0001-12,Nogueira S.A.,Resolvida,7,1,2025-04-10
82.490.135/0001-47,Macedo,Resolvida,20,1,2025-10-01
29.017.483/0001-19,Pires - EI,Resolvida,14,4,2025-01-31
79.461.283/0001-29,Sá,Não Resolvida,15,4,2024-11-06
74.619.325/0001-93,Fogaça Azevedo - ME,Resolvida,23,3,2024-01-30
53.847.192/0001-32,da Mata - ME,Resolvida,29,2,2025-12-07
12.538.670/0001-45,Andrade,Não Resolvida,17,4,2025-09-12
28.974.630/0001-86,Dias,Resolvida,15,3,2024-12-05
28.960.341/0001-28,Fogaça,Resolvida,1,5,2024-08-27
52.687.403/0001-54,Ramos,Resolvida,12,5,2025-05-18
32.849.760/0001-64,Melo,Resolvida,6,5,2025-09-20
98.315.204/0001-16,Aparecida,Resolvida,15,3,2025-10-25
45.728.019/0001-97,Pimenta,Resolvida,20,5,2025-05-18
34.109.562/0001-90,Rios - EI,Não Resolvida,10,3,2025-07-09
07.496.821/0001-00,Martins,Não Resolvida,19,4,2024-10-05
90.672.314/0001-23,Fonseca - EI,Resolvida,26,5,2024-05-31
91.045.367/0001-87,Pinto,Resolvida,23,1,2025-02-20
62.785.901/0001-93,Pimenta,Resolvida,1,2,2025-09-13
65.049.231/0001-35,Lima,Não Resolvida,15,2,2025-04-22
52.130.897/0001-71,Vargas,Resolvida,22,1,2025-06-21
95.217.068/0001-33,Novais,Resolvida,21,1,2025-03-06
41.657.809/0001-78,Silva,Não Resolvida,7,5,2024-02-19
49.802.756/0001-43,Caldeira Rocha - EI,Resolvida,23,3,2024-02-05
48.915.760/0001-55,Camargo Cirino - ME,Resolvida,16,3,2024-07-16
16.928.570/0001-86,Vasconcelos,Não Resolvida,25,5,2025-03-03
87.460.231/0001-66,Souza Dias S.A.,Resolvida,5,1,2024-05-31
01.943.256/0001-03,Abreu,Resolvida,20,5,2024-03-16
23.095.687/0001-91,Ribeiro,Resolvida,26,2,2025-01-04
90.281.467/0001-40,Aragão,Resolvida,7,4,2024-02-16
83.467.521/0001-80,da Mota,Resolvida,5,2,2025-06-08
62.417.830/0001-76,Vargas Ltda.,Resolvida,5,4,2024-01-31
24.065.839/0001-76,Camargo,Resolvida,10,2,2024-07-01
40.239.157/0001-99,Costa Barros S/A,Não Resolvida,1,5,2025-09-11
52.940.863/0001-42,Lima,Resolvida,16,2,2025-01-05
37.591.280/0001-60,Melo e Filhos,Resolvida,27,4,2025-05-07
06.178.349/0001-02,Montenegro,Resolvida,18,3,2025-03-17
56.103.927/0001-01,Ramos,Resolvida,1,5,2025-04-25
95.280.367/0001-12,das Neves - ME,Resolvida,5,4,2025-02-15
62.857.401/0001-10,Abreu - ME,Resolvida,1,2,2025-09-28
83.529.461/0001-83,Almeida,Resolvida,29,5,2024-05-13
45.192.307/0001-70,Fernandes,Resolvida,14,2,2024-11-17
81.462.507/0001-69,Barros,Resolvida,18,3,2025-05-10
47.013.829/0001-92,Barbosa,Resolvida,26,5,2024-06-21
92.430.617/0001-65,Porto,Não Resolvida,26,2,2025-07-13
19.073.845/0001-35,da Rosa,Resolvida,7,4,2025-05-12
50.963.142/0001-22,Moura Araújo - EI,Resolvida,18,5,2025-06-18
50.628.714/0001-17,Cunha - ME,Não Resolvida,24,4,2025-09-05
16.597.320/0001-00,Gonçalves,Resolvida,29,1,2026-01-14
52.679.310/0001-88,da Mata,Resolvida,5,1,2024-08-22
30.692.475/0001-57,Mendes,Resolvida,3,1,2024-10-14
17.253.086/0001-67,Porto - EI,Resolvida,4,2,2024-05-29
56.342.198/0001-46,Porto Moraes - EI,Resolvida,24,5,2025-05-23
78.931.462/0001-10,Aragão,Resolvida,23,5,2024-11-23
25.864.390/0001-79,Gonçalves,Resolvida,3,1,2025-10-13
51.026.384/0001-52,Montenegro,Resolvida,17,4,2025-12-05
68.250.314/0001-86,Cirino Novaes S/A,Não Resolvida,22,5,2025-08-16
30.814.657/0001-53,Barros - ME,Não Resolvida,17,4,2025-09-24
67.812.309/0001-57,Azevedo,Resolvida,9,3,2024-10-08
61.320.458/0001-12,Moraes Rios S.A.,Resolvida,7,4,2024-12-21
08.159.362/0001-31,Almeida Peixoto - ME,Não Resolvida,20,3,2025-02-03
48.631.725/0001-04,Vargas - EI,Resolvida,16,5,2025-07-16
10.958.273/0001-05,Nunes,Resolvida,12,1,2025-06-17
32.860.947/0001-69,Cirino,Resolvida,21,4,2025-05-14
96.832.540/0001-00,Ramos - EI,Não Resolvida,16,1,2025-05-14
05.236.974/0001-92,Novaes S/A,Resolvida,21,2,2025-08-10
69.172.538/0001-80,Lopes,Não Resolvida,14,2,2024-08-26
35.402.197/0001-70,Gomes,Resolvida,23,5,2024-06-05
05.641.873/0001-05,Carvalho Ltda.,Resolvida,18,4,2025-02-09
17.049.653/0001-68,Rios Ltda.,Resolvida,26,4,2025-12-05
09.836.271/0001-56,Cavalcanti,Não Resolvida,6,5,2025-03-11
91.368.075/0001-85,Jesus da Costa e Filhos,Resolvida,9,2,2024-07-11
02.745.683/0001-31,Pinto,Não Resolvida,2,5,2025-04-02
91.203.846/0001-84,das Neves Moura S/A,Resolvida,6,3,2025-12-13
15.703.692/0001-01,Casa Grande,Resolvida,13,1,2024-12-20
97.634.251/0001-60,da Mota - ME,Não Resolvida,17,1,2024-09-03
08.374.529/0001-87,Azevedo,Resolvida,4,4,2024-10-07
83.710.295/0001-17,Camargo,Resolvida,29,4,2025-07-31
74.021.659/0001-60,Rodrigues,Resolvida,27,2,2025-04-26
08.261.743/0001-27,Rios - EI,Não Resolvida,7,3,2025-08-06
81.593.706/0001-06,Fonseca Ltda.,Resolvida,18,4,2024-06-06
15.096.784/0001-70,Câmara,Resolvida,20,4,2024-06-18
52.381.794/0001-84,Correia,Não Resolvida,9,1,2024-12-18
95.083.127/0001-28,Castro - EI,Resolvida,28,1,2025-10-08
62.591.438/0001-49,Brito,Resolvida,17,1,2025-02-12
71.046.259/0001-11,Campos,Não Resolvida,6,5,2025-04-18
70.369.815/0001-28,Sales - EI,Não Resolvida,12,5,2024-07-18
83.194.507/0001-50,Peixoto,Não Resolvida,29,5,2024-07-15
37.961.280/0001-04,da Luz - ME,Resolvida,21,3,2024-09-15
23.905.647/0001-68,Peixoto Nascimento - EI,Não Resolvida,4,3,2025-05-12
49.268.503/0001-31,Machado Sales S.A.,Resolvida,25,2,2025-08-11
80.761.453/0001-70,Aragão,Resolvida,17,1,2024-11-16
31.594.826/0001-50,Silva Caldeira - EI,Resolvida,22,3,2025-11-21
54.713.628/0001-63,Pereira Cavalcanti S.A.,Não Resolvida,25,3,2024-03-15
80.341.692/0001-70,Cirino,Resolvida,16,4,2025-07-07
48.960.751/0001-86,Rios Nunes - ME,Resolvida,21,2,2024-06-29
35.798.142/0001-20,Gomes S.A.,Resolvida,26,2,2025-10-13
25.789.463/0001-05,da Rosa Nunes S.A.,Resolvida,28,4,2025-05-21
71.359.468/0001-15,Mendonça,Resolvida,4,3,2024-12-07
07.458.162/0001-17,Pereira S/A,Resolvida,17,1,2024-05-28
19.608.732/0001-97,Peixoto,Resolvida,20,5,2024-07-13
19.328.054/0001-09,Montenegro,Resolvida,29,5,2025-03-20
20.867.135/0001-66,Peixoto,Não Resolvida,29,2,2024-05-17
53.479.106/0001-86,Pastor,Resolvida,5,1,2024-05-15
12.359.467/0001-01,Sampaio,Resolvida,24,2,2024-06-05
51.297.063/0001-92,Monteiro,Resolvida,5,1,2025-07-17
39.250.874/0001-32,Porto,Não Resolvida,18,1,2024-04-08
56.874.320/0001-25,Moura,Resolvida,26,1,2024-03-27
21.895.406/0001-50,Montenegro Ltda.,Não Resolvida,27,1,2025-12-02
35.091.487/0001-40,Aparecida,Não Resolvida,2,1,2025-01-18
37.845.126/0001-77,Sá,Resolvida,1,5,2025-03-22
27.618.054/0001-71,Siqueira Dias S/A,Resolvida,6,4,2025-03-27
15.827.034/0001-21,Rios Camargo e Filhos,Não Resolvida,5,3,2024-10-25
92.537.086/0001-04,Lopes Lima S/A,Resolvida,5,5,2024-12-01
09.538.716/0001-11,Câmara S.A.,Não Resolvida,10,3,2024-08-25
98.103.724/0001-65,Sampaio S.A.,Resolvida,14,1,2025-04-03
61.054.893/0001-42,Carvalho,Resolvida,19,5,2025-12-06
73.916.258/0001-06,Garcia,Resolvida,1,1,2024-03-30
69.843.210/0001-48,Dias,Não Resolvida,2,4,2025-12-07
26.154.380/0001-02,da Luz Cirino - EI,Resolvida,7,2,2025-02-15
82.631.095/0001-06,Ferreira S.A.,Resolvida,22,3,2024-11-29
98.601.473/0001-49,Cunha Cavalcante S.A.,Resolvida,12,1,2025-02-22
20.749.815/0001-85,Brito,Resolvida,5,3,2025-04-04
37.029.514/0001-80,Rodrigues - EI,Resolvida,16,5,2024-03-23
35.408.917/0001-04,Abreu,Resolvida,2,3,2024-12-13
82.156.704/0001-12,Barbosa Rezende S.A.,Resolvida,6,4,2024-12-04
61.073.459/0001-00,Rocha,Não Resolvida,18,2,2024-09-08
03.148.526/0001-01,Silveira,Resolvida,15,3,2024-09-04
27.643.950/0001-90,Moraes Gomes e Filhos,Resolvida,2,4,2024-04-19
72.538.064/0001-51,Porto,Resolvida,1,4,2025-08-23
29.670.531/0001-73,Nogueira Montenegro - ME,Resolvida,10,3,2024-08-13
76.843.091/0001-99,Sousa,Resolvida,29,4,2025-05-10
60.925.143/0001-36,Cardoso S/A,Resolvida,17,2,2025-03-08
15.087.239/0001-18,Freitas,Não Resolvida,20,5,2024-03-17
58.103.672/0001-02,Rodrigues S/A,Não Resolvida,21,2,2024-05-24
69.480.275/0001-76,Abreu,Resolvida,11,3,2025-10-08
15.823.476/0001-08,Pinto Porto e Filhos,Resolvida,19,1,2024-07-17
59.871.346/0001-08,Albuquerque,Resolvida,16,3,2025-10-28
69.378.412/0001-66,da Cunha,Resolvida,8,4,2024-12-12
06.471.582/0001-70,Nunes,Resolvida,24,1,2025-05-12
15.460.792/0001-54,Peixoto Azevedo Ltda.,Não Resolvida,3,3,2024-02-08
53.746.028/0001-39,da Cruz e Filhos,Resolvida,18,5,2024-09-08
58.316.492/0001-09,Freitas S/A,Resolvida,19,5,2024-10-01
06.471.598/0001-83,Ferreira,Resolvida,28,2,2024-06-29
29.546.187/0001-05,Porto Cunha S/A,Resolvida,21,1,2025-07-19
97.084.235/0001-40,Câmara Vieira Ltda.,Resolvida,12,2,2025-12-23
29.831.570/0001-05,Pinto - EI,Não Resolvida,17,2,2024-02-06
92.408.351/0001-54,Albuquerque,Resolvida,9,2,2024-04-24
62.105.834/0001-19,da Mata,Não Resolvida,25,3,2024-08-22
20.783.694/0001-98,Nunes Ltda.,Não Resolvida,29,1,2024-10-23
98.316.072/0001-47,Brito S/A,Resolvida,1,1,2024-04-25
65.973.248/0001-84,Alves,Resolvida,20,2,2025-01-04
45.760.189/0001-59,Ribeiro,Não Resolvida,14,2,2024-03-03
18.732.609/0001-10,Rios Pires - EI,Resolvida,14,3,2025-04-07
47.093.581/0001-17,Cunha Gomes S.A.,Resolvida,7,3,2025-07-24
67.905.831/0001-83,Araújo S.A.,Não Resolvida,14,3,2024-04-12
01.835.976/0001-47,Fernandes Rodrigues Ltda.,Resolvida,13,2,2025-01-09
51.796.203/0001-77,Garcia e Filhos,Resolvida,3,3,2024-05-16
53.672.041/0001-90,Cavalcante,Resolvida,25,5,2025-08-04
71.504.382/0001-39,da Cruz,Resolvida,7,1,2024-07-24
96.581.247/0001-18,Câmara S.A.,Não Resolvida,22,2,2025-08-21
01.796.854/0001-99,Nogueira Siqueira Ltda.,Resolvida,25,1,2024-12-01
35.721.806/0001-53,Guerra Leão - EI,Resolvida,25,4,2024-11-22
83.710.256/0001-10,Vargas,Resolvida,9,5,2026-01-07
89.532.604/0001-92,Freitas - EI,Resolvida,4,2,2025-07-16
59.872.613/0001-61,Nogueira,Resolvida,8,1,2024-03-07
29.654.708/0001-48,Cirino,Resolvida,10,1,2025-12-04
12.046.879/0001-91,Pinto Cunha S/A,Resolvida,20,2,2025-04-01
06.154.829/0001-25,Araújo,Resolvida,27,3,2025-07-10
29.045.836/0001-94,Teixeira,Não Resolvida,5,1,2024-05-21
67.840.321/0001-75,da Conceição Farias - EI,Resolvida,22,5,2024-10-22
70.354.961/0001-80,Rios,Resolvida,23,4,2024-08-06
53.789.124/0001-64,da Mata Silveira - ME,Não Resolvida,24,1,2025-07-27
17.248.956/0001-00,Monteiro S/A,Resolvida,19,5,2024-08-02
34.516.729/0001-37,Sales Pacheco S.A.,Não Resolvida,6,2,2025-08-22
95.632.408/0001-92,da Rosa e Filhos,Resolvida,11,4,2025-10-30
61.807.952/0001-06,Teixeira - EI,Resolvida,22,1,2025-10-30
84.396.275/0001-86,da Cruz Fogaça - ME,Resolvida,6,3,2024-10-29
85.067.213/0001-93,Barros Mendes Ltda.,Não Resolvida,2,3,2025-09-07
42.987.615/0001-01,Sales Mendonça - ME,Resolvida,19,5,2025-03-07
30.461.758/0001-98,Rios,Não Resolvida,6,2,2024-06-25
61.302.598/0001-68,Abreu,Resolvida,19,4,2024-09-01
37.846.915/0001-22,Melo S.A.,Resolvida,17,4,2025-10-17
84.160.927/0001-89,da Rocha - ME,Resolvida,26,5,2024-11-06
46.578.012/0001-07,Aparecida,Resolvida,4,5,2025-02-12
30.547.981/0001-52,Cunha,Resolvida,1,2,2025-04-01
76.154.280/0001-54,Freitas,Resolvida,5,2,2024-04-19
76.240.891/0001-15,Moraes - EI,Não Resolvida,13,2,2025-10-27
50.792.643/0001-93,Dias,Resolvida,5,1,2024-09-20
51.976.423/0001-82,da Luz da Rosa S.A.,Não Resolvida,11,3,2025-06-14
59.437.061/0001-63,Câmara S.A.,Resolvida,17,5,2025-09-05
86.715.932/0001-36,Albuquerque,Não Resolvida,12,2,2024-11-22
56.179.402/0001-50,Peixoto,Resolvida,24,3,2024-12-31
24.071.659/0001-05,Jesus,Não Resolvida,12,3,2025-02-23
95.702.641/0001-02,Freitas,Resolvida,8,4,2024-08-16
06.982.371/0001-00,Sá Fogaça S/A,Não Resolvida,8,3,2025-10-08
75.308.294/0001-12,Silveira Pereira - EI,Não Resolvida,14,4,2024-03-14
02.457.396/0001-26,Leão,Resolvida,21,5,2024-10-20
07.942.581/0001-20,Pinto - ME,Não Resolvida,27,2,2026-01-15
32.465.871/0001-77,Moraes,Não Resolvida,25,5,2025-09-03
91.063.874/0001-43,Mendes e Filhos,Resolvida,18,3,2024-06-07
52.643.981/0001-99,Ribeiro,Resolvida,1,1,2025-06-05
72.105.389/0001-40,Novaes,Resolvida,1,2,2024-08-20
06.381.974/0001-49,Teixeira,Resolvida,8,3,2024-02-22
41.297.560/0001-37,Câmara,Resolvida,6,3,2024-10-01
90.238.615/0001-43,Albuquerque,Resolvida,8,2,2025-11-26
57.163.289/0001-87,Teixeira Silveira - EI,Resolvida,15,5,2024-05-02
34.760.891/0001-04,Fonseca,Resolvida,7,3,2024-07-02
30.145.967/0001-22,Pastor,Não Resolvida,6,1,2025-01-31
04.893.651/0001-09,Oliveira e Filhos,Resolvida,5,3,2025-06-18
86.341.570/0001-60,Barbosa Duarte S/A,Resolvida,4,2,2025-07-27
81.645.023/0001-55,Vasconcelos Andrade S/A,Não Resolvida,27,2,2024-09-05
40.675.239/0001-86,Ramos e Filhos,Resolvida,6,5,2025-02-25
42.786.095/0001-60,Cardoso Ltda.,Resolvida,4,5,2025-12-17
35.179.068/0001-64,Teixeira - ME,Resolvida,24,5,2024-02-23
47.918.265/0001-37,Costela Melo S/A,Resolvida,29,4,2026-01-10
51.207.863/0001-75,Cirino S.A.,Resolvida,2,3,2025-07-07
23.187.405/0001-86,Jesus Santos - ME,Resolvida,19,4,2024-12-09
37.594.108/0001-60,Pinto - EI,Resolvida,11,3,2024-08-03
86.235.791/0001-54,Dias da Cunha S/A,Resolvida,11,2,2024-10-03
38.795.016/0001-00,da Rocha,Resolvida,6,2,2024-08-16
87.629.543/0001-50,Costela,Não Resolvida,12,2,2025-03-03
92.780.516/0001-14,da Cruz,Resolvida,18,1,2024-03-22
86.592.431/0001-00,da Mota,Resolvida,8,4,2024-02-21
16.953.702/0001-20,Alves,Resolvida,12,4,2025-10-31
23.197.608/0001-53,Jesus Macedo - ME,Não Resolvida,5,5,2024-03-02
96.021.375/0001-07,Costela,Resolvida,10,1,2024-03-01
01.745.398/0001-58,Peixoto Rios e Filhos,Resolvida,26,1,2024-11-11
39.126.504/0001-98,da Mata Santos Ltda.,Resolvida,29,1,2025-10-16
35.912.874/0001-08,Carvalho Ltda.,Não Resolvida,23,1,2024-12-09
50.782.394/0001-55,Ramos Monteiro Ltda.,Resolvida,21,2,2025-10-09
12.736.804/0001-32,Azevedo,Não Resolvida,22,1,2024-05-17
31.057.698/0001-05,das Neves Marques e Filhos,Resolvida,22,3,2024-05-06
34.850.269/0001-89,Mendonça,Resolvida,21,1,2025-01-11
34.291.685/0001-94,Alves,Resolvida,10,4,2024-02-17
94.230.765/0001-61,da Cruz,Não Resolvida,26,1,2024-08-10
71.269.385/0001-35,Leão,Resolvida,20,1,2025-06-29
67.495.128/0001-44,Teixeira,Não Resolvida,6,2,2025-12-27
51.862.937/0001-07,Rios S.A.,Resolvida,27,2,2025-08-18
29.136.487/0001-16,Pastor,Não Resolvida,11,3,2024-07-05
93.641.502/0001-82,Vargas,Resolvida,19,1,2025-02-14
40.938.157/0001-87,Carvalho Guerra S.A.,Resolvida,6,5,2024-09-06
79.862.315/0001-06,Aparecida e Filhos,Não Resolvida,17,5,2025-07-08
59.824.167/0001-10,Vargas Monteiro - EI,Resolvida,22,2,2025-08-20
97.531.842/0001-01,Nunes Nunes S.A.,Resolvida,21,1,2025-12-23
64.072.593/0001-84,Aparecida e Filhos,Resolvida,20,1,2025-06-04
49.870.215/0001-52,Macedo da Cruz - ME,Resolvida,22,4,2024-05-03
70.925.186/0001-75,Nunes,Resolvida,8,1,2025-07-14
15.726.908/0001-54,Gomes,Resolvida,13,3,2025-11-16
54.170.983/0001-33,Leão Rocha S/A,Resolvida,19,5,2024-02-12
53.270.698/0001-21,da Conceição,Resolvida,29,3,2025-12-08
56.289.473/0001-05,Aparecida Camargo S.A.,Resolvida,14,3,2025-01-03
49.503.618/0001-63,Sampaio,Resolvida,2,4,2024-01-30
24.810.756/0001-64,Garcia Marques S/A,Resolvida,6,3,2025-11-07
46.791.238/0001-83,Machado,Resolvida,1,5,2026-01-04
18.709.543/0001-48,Albuquerque Camargo - ME,Resolvida,3,2,2025-08-24
96.307.814/0001-42,Campos S/A,Resolvida,14,2,2024-09-29
73.546.981/0001-40,Sousa S/A,Resolvida,23,4,2025-01-09
57.401.896/0001-38,Nunes,Não Resolvida,7,5,2024-04-22
82.017.453/0001-95,Sampaio Ltda.,Resolvida,25,3,2024-03-27
53.280.471/0001-67,Montenegro - EI,Resolvida,27,5,2025-11-01
24.675.913/0001-76,Fonseca - EI,Resolvida,25,5,2025-02-11
69.143.580/0001-72,Viana Câmara - ME,Resolvida,1,4,2024-10-06
97.168.302/0001-05,das Neves - EI,Resolvida,2,3,2025-12-28
74.890.516/0001-95,Vargas,Resolvida,14,3,2024-04-11
28.509.461/0001-03,da Rosa S.A.,Não Resolvida,20,5,2025-10-30
92.843.601/0001-84,da Costa,Resolvida,14,2,2025-07-05
23.781.549/0001-66,Nogueira e Filhos,Resolvida,7,1,2025-07-13
43.517.689/0001-39,Cavalcante Ltda.,Resolvida,19,5,2025-08-29
